CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,525,397.05,420.90,525,"1,680.00",-,-,0.45,875,-,-,-,-,-,-,
,-,-,-,-,-,-,525,357.35,385.40,525,"1,720.00",875,0.05,0.40,875,-,-,140.30,-,-,-,
,1,-,-,68.71,305.25,-,350,317.55,337.45,525,"1,760.00","3,850",0.05,0.15,175,-0.25,0.10,119.87,102,16,53,
,-,-,-,-,-,-,700,297.40,317.95,525,"1,780.00",875,0.05,0.35,875,-,-,-,-,-,-,
,4,-,-,-,324.70,-,700,277.45,297.65,525,"1,800.00","31,325",0.10,0.15,525,-0.30,0.10,105.71,212,-45,359,
,-,-,-,-,-,-,700,257.45,277.65,525,"1,820.00","14,000",0.05,0.50,"2,800",0.10,0.35,113.50,1,-1,1,
,-,-,-,-,-,-,875,237.30,258.90,525,"1,840.00","5,250",0.10,0.30,"1,225",-0.10,0.20,98.82,105,-16,295,
,-,-,-,-,-,-,875,217.35,237.80,525,"1,860.00",175,0.25,0.35,875,0.10,0.40,99.56,19,13,42,
,548,-46,58,-,212.00,-16.00,525,206.80,214.10,175,"1,880.00","1,400",0.15,0.20,"2,100",-0.50,0.20,84.06,358,-225,"1,060",
,5,-,-,244.84,228.90,-,875,177.85,198.00,525,"1,900.00",525,0.40,0.50,700,-0.40,0.50,86.42,647,-234,844,
,68,-6,13,62.07,174.60,-2.15,175,167.85,173.90,175,"1,920.00","1,225",0.40,0.60,875,-0.65,0.50,78.34,570,-111,549,
,-,-,-,-,-,-,875,138.15,157.85,525,"1,940.00","1,050",0.45,0.70,700,-0.80,0.65,73.13,836,-253,168,
,43,-,-,148.81,153.35,-,"1,225",122.70,135.95,"1,225","1,960.00",525,0.55,0.70,875,-1.10,0.60,63.93,"3,356",-529,567,
,18,-,-,136.57,133.95,-,"1,225",102.65,115.95,700,"1,980.00",525,0.50,0.70,350,-1.45,0.65,56.33,"5,787",-267,"1,099",
,"1,061",31,766,-,91.50,-7.35,"1,050",88.90,93.35,525,"2,000.00",700,0.80,0.95,350,-1.85,0.90,50.72,"11,833","-1,407","3,578",
,458,-23,242,72.03,81.50,2.15,350,63.90,74.35,175,"2,020.00",350,0.95,1.15,"2,100",-2.45,1.15,43.84,"7,145",-262,732,
,"2,820",-350,"3,051",-,53.35,-6.30,175,52.15,54.95,350,"2,040.00",175,1.60,2.00,"1,575",-3.65,1.55,36.76,"13,237",120,"3,176",
,"1,068",-721,"6,109",25.37,35.95,-8.35,175,34.35,35.85,175,"2,060.00",175,3.30,3.60,"1,225",-5.10,3.60,34.43,"24,690","-1,259","3,995",
,"2,466",70,"19,519",20.23,17.95,-11.75,875,17.75,19.70,175,"2,080.00",175,6.70,7.20,175,-6.75,7.15,30.23,"26,990","-1,834","1,952",
,"5,823",-764,"52,109",23.61,7.85,-11.00,525,7.80,8.15,175,"2,100.00",175,16.10,17.20,175,-4.65,17.00,32.26,"15,530","-2,883","3,618",
,"3,665","-2,773","42,472",29.22,3.95,-7.45,"5,075",3.90,4.00,350,"2,120.00",175,31.50,32.95,175,-1.50,32.65,38.65,"7,232","-2,532","2,901",
,"2,978",-784,"34,324",34.28,2.15,-4.80,"1,050",2.05,2.15,700,"2,140.00",175,50.00,51.75,175,0.90,50.00,43.89,"3,109",-975,"1,084",
,"4,037",-642,"14,857",39.67,1.35,-3.10,525,1.40,1.60,"1,225","2,160.00",175,69.30,71.20,350,2.55,70.65,57.99,733,-172,"1,763",
,"3,369",-782,"10,796",43.75,0.80,-2.25,"4,550",0.75,0.85,700,"2,180.00",175,88.00,91.00,350,4.50,91.00,70.53,653,-364,"1,509",
,"10,120","-2,119","24,761",49.20,0.60,-1.90,"4,550",0.60,0.70,"2,275","2,200.00",350,108.55,112.80,"1,225",1.10,106.70,56.73,"1,162",-676,"3,226",
,"2,548","-1,067","4,483",57.37,0.65,-1.20,"43,050",0.65,0.70,"2,625","2,220.00",175,127.05,130.90,175,4.20,128.95,80.96,348,-134,"1,309",
,"3,403","-1,285","4,172",62.08,0.50,-1.00,"29,575",0.50,0.55,"13,650","2,240.00",175,147.70,152.25,350,3.95,149.20,91.64,241,-158,"1,273",
,"3,952","-1,416","3,884",65.58,0.35,-0.80,"2,275",0.30,0.40,"1,575","2,260.00",175,167.20,173.05,"1,225",-1.60,162.55,-,204,-149,"1,529",
,"4,395",-901,"2,742",68.99,0.25,-0.70,"1,750",0.25,0.30,"16,625","2,280.00",350,186.95,193.20,"1,225",4.90,188.20,102.32,143,-100,"2,441",
,"14,019","-5,913","11,671",78.41,0.35,-0.55,"5,600",0.30,0.35,"6,300","2,300.00",175,208.85,212.05,350,6.35,212.00,134.62,"3,052","-2,037","4,239",
,"2,289",-396,"1,125",79.04,0.20,-0.55,350,0.20,0.25,"1,225","2,320.00",175,226.60,234.55,175,4.70,227.30,110.10,446,-379,"1,504",
,"2,932",-396,919,87.09,0.25,-0.40,700,0.20,0.25,875,"2,340.00",175,246.20,252.75,"1,225",-3.50,248.90,132.15,171,-103,"1,393",
,"1,980",-167,343,87.72,0.15,-0.50,"1,050",0.15,0.20,350,"2,360.00",175,266.35,272.85,"1,225",2.90,266.25,110.06,49,-22,846,
,"1,018",-198,266,96.17,0.20,-0.35,"1,750",0.15,0.25,525,"2,380.00",175,286.45,292.80,175,23.00,280.00,-,23,-17,952,
,"8,898","-2,207","3,063",98.59,0.15,-0.30,"87,500",0.15,0.20,"9,275","2,400.00",175,306.25,311.80,175,6.00,310.00,164.27,660,-398,"1,472",
,"1,353",-222,354,103.91,0.15,-0.25,"13,300",0.15,0.20,"2,975","2,420.00",175,326.75,332.70,175,36.15,322.00,-,45,-37,629,
,"2,147",-333,468,112.53,0.20,-0.20,"16,275",0.15,0.20,350,"2,440.00",350,345.60,353.05,"1,225",-7.30,342.45,-,44,-35,"1,289",
,"2,208",-109,287,109.82,0.10,-0.30,875,0.10,0.15,"1,400","2,460.00",175,366.15,372.20,525,18.60,355.60,-,27,-9,627,
,"1,690",-51,68,119.44,0.15,-0.15,"26,425",0.10,0.20,"34,475","2,480.00","1,750",383.35,392.95,700,37.75,386.80,158.89,7,-1,478,
,"9,519",-812,"1,277",112.39,0.05,-0.20,"4,900",0.05,0.10,"21,350","2,500.00",175,409.10,411.50,175,17.70,410.25,203.87,490,-385,"1,574",
,910,-208,280,129.46,0.15,-0.10,"12,075",0.10,0.20,"3,675","2,520.00",175,424.55,449.90,350,66.95,435.00,244.19,2,-1,68,
,622,-72,111,134.38,0.15,-0.10,"22,225",0.10,0.20,700,"2,540.00",175,444.55,454.45,175,37.35,448.35,199.43,80,-71,401,
,653,-44,71,139.24,0.15,-0.05,"5,425",0.10,0.25,"1,050","2,560.00",525,462.30,481.65,525,43.60,474.60,257.09,2,-1,36,
,970,-32,43,144.05,0.15,-0.05,"2,625",0.10,0.20,525,"2,580.00",350,485.20,511.60,175,53.00,504.00,314.70,1,-1,9,
,"2,754",-267,455,143.20,0.10,-0.10,"36,225",0.05,0.10,"10,675","2,600.00",175,508.90,512.10,"1,225",5.55,510.05,237.01,168,-100,938,
,514,-27,59,153.49,0.15,-0.10,350,0.10,0.20,875,"2,620.00",525,522.70,541.70,350,-,494.00,-,-,-,6,
,387,-24,69,158.14,0.15,-0.10,"3,325",0.10,0.15,700,"2,640.00",175,544.95,560.00,350,44.00,547.00,211.45,6,-5,32,
,603,-4,50,162.74,0.15,-0.05,"6,475",0.05,0.20,"1,225","2,660.00",875,561.75,573.85,"1,750",51.65,573.65,286.83,2,-2,1,
,178,-3,12,161.12,0.10,-0.05,"2,975",0.05,0.15,"1,750","2,680.00",350,573.50,601.70,350,44.00,595.00,303.23,1,-,1,
,784,-49,81,165.49,0.10,-0.10,"1,225",0.10,0.15,"4,025","2,700.00",175,608.90,613.50,"1,750",4.05,608.00,245.18,583,-446,446,
,136,-,26,169.80,0.10,-,875,0.05,0.25,875,"2,720.00",350,613.80,641.95,350,253.00,635.00,317.03,4,-3,1,
,3,-3,3,164.17,0.05,-0.95,175,0.05,0.25,175,"2,740.00",350,633.65,662.00,350,-,-,-,-,-,-,
,346,-44,58,178.32,0.10,-,"8,400",0.05,0.20,"1,050","2,760.00",175,665.25,669.45,175,40.65,670.65,294.40,17,-12,11,
,"1,577",-228,290,186.67,0.10,-0.10,"53,725",0.05,0.15,"8,225","2,800.00",175,711.55,714.30,175,3.35,708.00,274.13,426,-305,"1,091",
,711,15,194,207.59,0.20,-0.05,350,0.10,0.20,875,"2,840.00",175,749.55,752.40,700,4.70,750.50,317.05,"1,005",-742,779,
,135,-,45,206.57,0.05,-0.05,875,0.05,0.20,"1,225","2,960.00",-,-,-,-,-,-,-,-,-,-,
,25,8,28,242.01,0.15,-0.20,"3,500",0.05,0.20,700,"3,040.00",-,-,-,-,-,-,-,-,-,-,
