Strike,Call_Market_LTP,Call_QL_Price,Call_Delta,Call_Gamma,Call_Vega,Call_Theta_PerDay,Put_Market_LTP,Put_QL_Price,Put_Delta,Put_Gamma,Put_Vega,Put_Theta_PerDay
1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.07630452989324155,-0.000904106344229326,1.0311331086891578e-05,0.022855039318690363,-0.013885272673304359
1780.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,0.0789844995168349,-0.0009578061182975185,1.1165963016709456e-05,0.024099171333246988,-0.014244180188353377
1800.0,303.0,0.0,0.0,0.0,0.0,0.0,7.0,0.11412391314435118,-0.0013460297277260941,1.5222760959522902e-05,0.032913931095108546,-0.01947341530226884
1820.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.13683261376500386,-0.0016143158483966592,1.8225974201818736e-05,0.03885144917971873,-0.02264151181566004
1840.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.16943565923331053,-0.001988261238234041,2.227828791340351e-05,0.046958344163812456,-0.027034363357043782
1860.0,253.6,0.0,0.0,0.0,0.0,0.0,11.15,0.19496792946960917,-0.0023030141186954067,2.592466256623037e-05,0.053652237707288955,-0.03029644717998356
1880.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.26202429368253155,-0.003031537934097102,3.332808463892167e-05,0.0687706482595229,-0.03868012094802758
1900.0,215.4,0.0,0.0,0.0,0.0,0.0,16.65,0.3379442886819517,-0.0038518448412478055,4.159790608698169e-05,0.08528133953848283,-0.0476060399249629
1920.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,0.47141071898313697,-0.005205905548135464,5.427688556629821e-05,0.11160605002350305,-0.062419097978825805
1940.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.6201255891654553,-0.006695411855798792,6.801171915147521e-05,0.1395086630375726,-0.07774467104128076
1960.0,0.0,0.0,0.0,0.0,0.0,0.0,27.85,0.8159363288162691,-0.008594522959891755,8.485196556958008e-05,0.17381685627264998,-0.09661524807873371
1980.0,158.0,0.0,0.0,0.0,0.0,0.0,31.5,0.996818320943981,-0.010391882300546489,0.00010119377308569674,0.20521629483567203,-0.11277444245281226
2000.0,136.5,0.0,0.0,0.0,0.0,0.0,38.8,1.4581156249997547,-0.014402259037149187,0.0001321687958339907,0.2722831987377044,-0.15181800039410998
2020.0,124.6,505.15479576729103,0.9991232097091798,2.038027491517698e-08,1.754021238087401e-05,-0.31618742238206643,45.35,1.8333782543636157,-0.017723525488007052,0.0001584950057896612,0.32528778841931844,-0.18042887965317259
2040.0,116.4,485.28637062483523,0.9988913539963745,5.602520402000762e-06,0.006490153662006135,-0.322016123634672,51.0,2.43596344407638,-0.022665602130972407,0.00019405395838712256,0.4007423780689998,-0.22334428136862805
2060.0,98.35,465.40684528251575,0.9989256187970038,5.121207114801976e-06,0.005591793809533606,-0.32544472485309867,59.05,3.2258237617198136,-0.028801780799790892,0.00023526294035340717,0.4897572588485177,-0.2747472246474181
2080.0,87.8,445.55379464800785,0.9983809053173512,1.641754244813546e-05,0.019073274880570718,-0.33355012824755326,70.0,4.262050723305301,-0.03638116421535089,0.0002823376385790437,0.5938608743713666,-0.33609710887945726
2100.0,78.2,425.7551607132155,0.9968969838317194,4.208141607524876e-05,0.05203892319893702,-0.3486224317823556,80.05,5.605775983241944,-0.04559170659255626,0.0003348314060800745,0.7131872762028031,-0.40809998522360574
2120.0,69.0,406.0555590918581,0.9940136666680315,8.430824481471031e-05,0.10977444073323611,-0.373349588803669,91.25,7.625371553357442,-0.05809098800309679,0.00039646762427724303,0.8646986231976836,-0.505905678942013
2140.0,61.3,386.43837916735686,0.9901974737222564,0.00013422643341668127,0.1796835870712599,-0.403034984486043,102.9,10.122878165196385,-0.07232402221750284,0.0004591286649187409,1.0250410812573063,-0.6129729971669583
2160.0,53.85,366.943974296001,0.9850270704992731,0.00019562418738849294,0.26729839251828474,-0.439771543414392,115.15,11.934066382387835,-0.08320689219885935,0.0005119504570195045,1.140130941131121,-0.678743659588337
2180.0,48.25,347.84888579060197,0.9757755094811544,0.0002887537250135655,0.4108822120545404,-0.5014369975130543,126.6,15.612171502439129,-0.10144850557716353,0.0005763719716217024,1.3203562969208813,-0.8073132997698927
2200.0,41.75,328.84297215571644,0.966140999742432,0.00037855890183146007,0.5479072701259642,-0.5598041700646397,143.0,19.76854031722603,-0.1204845403824339,0.0006360933636439046,1.4934985694154397,-0.9344401405729676
2220.0,36.8,310.2380082929925,0.9533284456036503,0.00048413351196348184,0.7157450999492173,-0.6327843541183695,155.2,24.083652568349002,-0.13925239823485816,0.0006910899280957501,1.6509858492679985,-1.0491306920531112
2240.0,31.95,292.0135336500748,0.9380044384320072,0.0005972217610033939,0.8998256210393781,-0.7137956639116966,166.75,26.699880728145054,-0.15281685094184463,0.000744784139519612,1.7573694673174314,-1.1000773274495779
2260.0,28.25,274.25580668196153,0.9199314691237744,0.0007158289386676715,1.0983771849453159,-0.80260185960998,184.6,34.14379012994583,-0.17899721248587688,0.0007902281040421256,1.946543519983312,-1.2704728764323532
2280.0,25.3,257.52645708220604,0.8963403536104643,0.000842235712743179,1.3329710397398002,-0.9156023411546939,198.0,38.31887881508759,-0.19636771027085048,0.0008395904414760224,2.061152380402826,-1.3372056686881322
2300.0,21.8,240.49675247054316,0.8752372052642373,0.0009562594751651465,1.5229767719485183,-0.9991578034021349,220.0,50.73388270020392,-0.229156758224589,0.0008532924457187725,2.2556730219339576,-1.575655112417138
2320.0,18.95,224.54288576051025,0.8493574017659985,0.0010701053648486472,1.7339630778763524,-1.099744791505262,0.0,26.500453297482405,-0.18295644189482096,0.0010457336168392091,1.973404485926032,-0.9685751834523451
2340.0,16.55,209.47900540990457,0.8206380301713433,0.0011750087296883852,1.9430403747129206,-1.2044333153439344,248.0,61.1242906953868,-0.2659511156898806,0.0009347569696418972,2.4425141390346967,-1.6766278192306519
2360.0,14.4,194.41554791687,0.7927090205211506,0.001274008079954957,2.1237053018427985,-1.2879181157194601,271.8,77.83223286460778,-0.29758139560930214,0.0009093863091101864,2.5784415856335854,-1.9219788818637686
2380.0,12.4,180.1268193205331,0.7627732513839226,0.001363453957367844,2.294733547790747,-1.3690100753873482,0.0,98.28354519161316,-0.32717996889243456,0.0008635851522265635,2.6861094174428155,-2.2000099159614783
2400.0,10.95,167.29947311765812,0.7297373946479879,0.0014323544157329238,2.4583529603412235,-1.4584507289263695,308.5,100.87584402458425,-0.3424620321624943,0.0009108319519475412,2.7345735029528107,-2.152349972010193
2420.0,9.45,154.28792944812284,0.6979786711644779,0.0014997878629848932,2.592386371696815,-1.5215453022612897,0.0,24.611080069117556,-0.24278614225717696,0.001885579907348968,2.328618006478074,-0.7051925860609906
2440.0,8.3,142.95332420223076,0.6639987085845475,0.001540270874266,2.7119015885287756,-1.5924551613725604,322.0,89.10226688445775,-0.36739804689313366,0.0011489930327995502,2.8035168092856066,-1.7584382886904677
2460.0,7.2,131.29898911619767,0.6312796361131201,0.0015834657103943881,2.804637055325436,-1.6354951197420802,0.0,132.08648867639062,-0.4017215237713525,0.0009268750117839307,2.878341328648915,-2.327135423815896
2480.0,6.35,121.05662301577124,0.5977858105708697,0.001602600333930094,2.8776314146611264,-1.6798246992086514,0.0,106.36988447240319,-0.415184615333575,0.0011921151469176318,2.9014619503238452,-1.7977209418413327
2500.0,5.7,111.84895422446478,0.5646603062997448,0.0016037136265130043,2.928543253049649,-1.7188210300540427,402.0,165.37282588561604,-0.43903541727231177,0.0008709044684201035,2.933930985319013,-2.5717188989683564
2520.0,4.65,101.38152880267094,0.5323216839726738,0.0016253767759908818,2.9581876489120753,-1.7176274806811211,410.0,161.65442481267058,-0.45872155659556013,0.0009509651700386095,2.9526241727311024,-2.3624357827164046
2540.0,5.0,97.01844177193121,0.501906091422778,0.0015491989902243976,2.968167118208439,-1.7912405451769464,440.05,194.32305983958702,-0.47198200448779204,0.0008418345851888118,2.9611101843193013,-2.7023413620388927
2560.0,4.75,90.72140123775809,0.4730734372870182,0.0015078350082219985,2.961661854996907,-1.8172763317788743,454.0,200.67597460400034,-0.49021502147659973,0.0008651743537021956,2.9674023330966866,-2.626563380248399
2580.0,0.0,72.68412068892502,0.4338559721986155,0.0016447615482053997,2.9277977277921754,-1.6339008841650686,475.0,218.9273302521811,-0.5041889826353809,0.0008340680096822342,2.968018449790423,-2.725472027983069
2600.0,2.75,71.30503836909922,0.41055863102820145,0.0015236713193922796,2.8939096048324715,-1.7047539345263854,496.5,238.29083651484797,-0.5165779687141525,0.0008010330825505499,2.9655132813718854,-2.8341353593433616
2620.0,2.0,62.23767521463236,0.37833215044010426,0.00152057734870231,2.829850949756085,-1.628378939001327,0.0,191.63512970569155,-0.5739443612446028,0.0011230199396867967,2.9163840732983557,-1.859938214959235
2640.0,2.15,59.70927013854703,0.35706225105658984,0.0014305026292406433,2.776449619781723,-1.6545381317763252,0.0,284.2364574425867,-0.5343390505252843,0.0007194965222662751,2.9569133972754535,-3.1485932701033734
2660.0,0.0,37.59830400791701,0.29070841235120154,0.0015910756270207304,2.5507741513186293,-1.265207903339228,0.0,0.0,0.0,0.0,0.0,0.0
2680.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,286.48329350021305,-0.5783535642314219,0.0007919792630374734,2.9100358178709165,-2.7187488319702036
2700.0,1.5,45.63821853265849,0.2869536196920236,0.0012667669152796237,2.5352260395812594,-1.539510975770949,598.3,323.82095083375316,-0.5736982070156422,0.0007050565438742315,2.9167275775861974,-3.100526949755354
2720.0,0.0,34.25899965782673,0.24445432748909007,0.0012645465494152003,2.337239552549393,-1.3116837632385967,0.0,0.0,0.0,0.0,0.0,0.0
2740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2760.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,330.0934136585015,-0.6480653708706898,0.0007966450491698986,2.759748208618481,-2.362541187813091
2800.0,0.75,27.978756762557897,0.19207986674177135,0.0009837024897769206,2.0336338724464484,-1.2586364948588356,691.55,401.70168381366454,-0.6274711193262282,0.0006506669849222997,2.8140433540050833,-3.0927249317120014
2880.0,0.55,20.39791198393931,0.14342293974514128,0.0007750326503516585,1.684334540775522,-1.0867743803740149,0.0,0.0,0.0,0.0,0.0,0.0
